name,desc,tags
Boho Dress,"Flowy, earthy tones for festival vibes","['boho', 'cozy']"
Street Hoodie,Oversized hoodie with graffiti design for an urban street look,"['urban', 'casual']"
Silk Gown,Elegant floor-length gown perfect for evening events,"['elegant', 'formal']"
Denim Jacket,"Classic blue denim with rugged edges for a cool, edgy vibe","['edgy', 'casual']"
Athleisure Set,Breathable co-ord for active and energetic days,"['sporty', 'energetic']"
Cozy Sweater,Soft wool knit with warm neutral tones,"['cozy', 'minimal']"
Chic Blazer,"Tailored fit blazer for a modern, professional look","['formal', 'chic']"
Festival Kimono,Bright patterns and light fabric for summer festivals,"['boho', 'fun']"
Leather Boots,High-ankle boots with a matte finish for a confident statement,"['bold', 'edgy']"
Cotton Tee,Simple white t-shirt made from organic cotton,"['minimal', 'casual']"
